id,name,val
1,Item_1,100
2,Item_2,200
3,Item_3,300
4,Item_4,400
5,Item_5,500
6,Item_6,600
7,Item_7,700
8,Item_8,800
9,Item_9,900
10,Item_10,1000
11,Item_11,1100
12,Item_12,1200
13,Item_13,1300
14,Item_14,1400
15,Item_15,1500
16,Item_16,1600
17,Item_17,1700
18,Item_18,1800
19,Item_19,1900
20,Item_20,2000
21,Item_21,2100
22,Item_22,2200
23,Item_23,2300
24,Item_24,2400
25,Item_25,2500
26,Item_26,2600
27,Item_27,2700
28,Item_28,2800
29,Item_29,2900
30,Item_30,3000
31,Item_31,3100
32,Item_32,3200
33,Item_33,3300
34,Item_34,3400
35,Item_35,3500
36,Item_36,3600
37,Item_37,3700
38,Item_38,3800
39,Item_39,3900
40,Item_40,4000
41,Item_41,4100
42,Item_42,4200
43,Item_43,4300
44,Item_44,4400
45,Item_45,4500
46,Item_46,4600
47,Item_47,4700
48,Item_48,4800
49,Item_49,4900
50,Item_50,5000
51,Item_51,5100
52,Item_52,5200
53,Item_53,5300
54,Item_54,5400
55,Item_55,5500
56,Item_56,5600
57,Item_57,5700
58,Item_58,5800
59,Item_59,5900
60,Item_60,6000
61,Item_61,6100
62,Item_62,6200
63,Item_63,6300
64,Item_64,6400
65,Item_65,6500
66,Item_66,6600
67,Item_67,6700
68,Item_68,6800
69,Item_69,6900
70,Item_70,7000
71,Item_71,7100
72,Item_72,7200
73,Item_73,7300
74,Item_74,7400
75,Item_75,7500
76,Item_76,7600
77,Item_77,7700
78,Item_78,7800
79,Item_79,7900
80,Item_80,8000
81,Item_81,8100
82,Item_82,8200
83,Item_83,8300
84,Item_84,8400
85,Item_85,8500
86,Item_86,8600
87,Item_87,8700
88,Item_88,8800
89,Item_89,8900
90,Item_90,9000
91,Item_91,9100
92,Item_92,9200
93,Item_93,9300
94,Item_94,9400
95,Item_95,9500
96,Item_96,9600
97,Item_97,9700
98,Item_98,9800
99,Item_99,9900
100,Item_100,10000
101,Item_101,10100
102,Item_102,10200
103,Item_103,10300
104,Item_104,10400
105,Item_105,10500
106,Item_106,10600
107,Item_107,10700
108,Item_108,10800
109,Item_109,10900
110,Item_110,11000
111,Item_111,11100
112,Item_112,11200
113,Item_113,11300
114,Item_114,11400
115,Item_115,11500
116,Item_116,11600
117,Item_117,11700
118,Item_118,11800
119,Item_119,11900
120,Item_120,12000
121,Item_121,12100
122,Item_122,12200
123,Item_123,12300
124,Item_124,12400
125,Item_125,12500
126,Item_126,12600
127,Item_127,12700
128,Item_128,12800
129,Item_129,12900
130,Item_130,13000
131,Item_131,13100
132,Item_132,13200
133,Item_133,13300
134,Item_134,13400
135,Item_135,13500
136,Item_136,13600
137,Item_137,13700
138,Item_138,13800
139,Item_139,13900
140,Item_140,14000
141,Item_141,14100
142,Item_142,14200
143,Item_143,14300
144,Item_144,14400
145,Item_145,14500
146,Item_146,14600
147,Item_147,14700
148,Item_148,14800
149,Item_149,14900
150,Item_150,15000
151,Item_151,15100
152,Item_152,15200
153,Item_153,15300
154,Item_154,15400
155,Item_155,15500
156,Item_156,15600
157,Item_157,15700
158,Item_158,15800
159,Item_159,15900
160,Item_160,16000
161,Item_161,16100
162,Item_162,16200
163,Item_163,16300
164,Item_164,16400
165,Item_165,16500
166,Item_166,16600
167,Item_167,16700
168,Item_168,16800
169,Item_169,16900
170,Item_170,17000
171,Item_171,17100
172,Item_172,17200
173,Item_173,17300
174,Item_174,17400
175,Item_175,17500
176,Item_176,17600
177,Item_177,17700
178,Item_178,17800
179,Item_179,17900
180,Item_180,18000
181,Item_181,18100
182,Item_182,18200
183,Item_183,18300
184,Item_184,18400
185,Item_185,18500
186,Item_186,18600
187,Item_187,18700
188,Item_188,18800
189,Item_189,18900
190,Item_190,19000
191,Item_191,19100
192,Item_192,19200
193,Item_193,19300
194,Item_194,19400
195,Item_195,19500
196,Item_196,19600
197,Item_197,19700
198,Item_198,19800
199,Item_199,19900
200,Item_200,20000
201,Item_201,20100
202,Item_202,20200
203,Item_203,20300
204,Item_204,20400
205,Item_205,20500
206,Item_206,20600
207,Item_207,20700
208,Item_208,20800
209,Item_209,20900
210,Item_210,21000
211,Item_211,21100
212,Item_212,21200
213,Item_213,21300
214,Item_214,21400
215,Item_215,21500
216,Item_216,21600
217,Item_217,21700
218,Item_218,21800
219,Item_219,21900
220,Item_220,22000
221,Item_221,22100
222,Item_222,22200
223,Item_223,22300
224,Item_224,22400
225,Item_225,22500
226,Item_226,22600
227,Item_227,22700
228,Item_228,22800
229,Item_229,22900
230,Item_230,23000
231,Item_231,23100
232,Item_232,23200
233,Item_233,23300
234,Item_234,23400
235,Item_235,23500
236,Item_236,23600
237,Item_237,23700
238,Item_238,23800
239,Item_239,23900
240,Item_240,24000
241,Item_241,24100
242,Item_242,24200
243,Item_243,24300
244,Item_244,24400
245,Item_245,24500
246,Item_246,24600
247,Item_247,24700
248,Item_248,24800
249,Item_249,24900
250,Item_250,25000
251,Item_251,25100
252,Item_252,25200
253,Item_253,25300
254,Item_254,25400
255,Item_255,25500
256,Item_256,25600
257,Item_257,25700
258,Item_258,25800
259,Item_259,25900
260,Item_260,26000
261,Item_261,26100
262,Item_262,26200
263,Item_263,26300
264,Item_264,26400
265,Item_265,26500
266,Item_266,26600
267,Item_267,26700
268,Item_268,26800
269,Item_269,26900
270,Item_270,27000
271,Item_271,27100
272,Item_272,27200
273,Item_273,27300
274,Item_274,27400
275,Item_275,27500
276,Item_276,27600
277,Item_277,27700
278,Item_278,27800
279,Item_279,27900
280,Item_280,28000
281,Item_281,28100
282,Item_282,28200
283,Item_283,28300
284,Item_284,28400
285,Item_285,28500
286,Item_286,28600
287,Item_287,28700
288,Item_288,28800
289,Item_289,28900
290,Item_290,29000
291,Item_291,29100
292,Item_292,29200
293,Item_293,29300
294,Item_294,29400
295,Item_295,29500
296,Item_296,29600
297,Item_297,29700
298,Item_298,29800
299,Item_299,29900
300,Item_300,30000
301,Item_301,30100
302,Item_302,30200
303,Item_303,30300
304,Item_304,30400
305,Item_305,30500
306,Item_306,30600
307,Item_307,30700
308,Item_308,30800
309,Item_309,30900
310,Item_310,31000
311,Item_311,31100
312,Item_312,31200
313,Item_313,31300
314,Item_314,31400
315,Item_315,31500
316,Item_316,31600
317,Item_317,31700
318,Item_318,31800
319,Item_319,31900
320,Item_320,32000
321,Item_321,32100
322,Item_322,32200
323,Item_323,32300
324,Item_324,32400
325,Item_325,32500
326,Item_326,32600
327,Item_327,32700
328,Item_328,32800
329,Item_329,32900
330,Item_330,33000
331,Item_331,33100
332,Item_332,33200
333,Item_333,33300
334,Item_334,33400
335,Item_335,33500
336,Item_336,33600
337,Item_337,33700
338,Item_338,33800
339,Item_339,33900
340,Item_340,34000
341,Item_341,34100
342,Item_342,34200
343,Item_343,34300
344,Item_344,34400
345,Item_345,34500
346,Item_346,34600
347,Item_347,34700
348,Item_348,34800
349,Item_349,34900
350,Item_350,35000
351,Item_351,35100
352,Item_352,35200
353,Item_353,35300
354,Item_354,35400
355,Item_355,35500
356,Item_356,35600
357,Item_357,35700
358,Item_358,35800
359,Item_359,35900
360,Item_360,36000
361,Item_361,36100
362,Item_362,36200
363,Item_363,36300
364,Item_364,36400
365,Item_365,36500
366,Item_366,36600
367,Item_367,36700
368,Item_368,36800
369,Item_369,36900
370,Item_370,37000
371,Item_371,37100
372,Item_372,37200
373,Item_373,37300
374,Item_374,37400
375,Item_375,37500
376,Item_376,37600
377,Item_377,37700
378,Item_378,37800
379,Item_379,37900
380,Item_380,38000
381,Item_381,38100
382,Item_382,38200
383,Item_383,38300
384,Item_384,38400
385,Item_385,38500
386,Item_386,38600
387,Item_387,38700
388,Item_388,38800
389,Item_389,38900
390,Item_390,39000
391,Item_391,39100
392,Item_392,39200
393,Item_393,39300
394,Item_394,39400
395,Item_395,39500
396,Item_396,39600
397,Item_397,39700
398,Item_398,39800
399,Item_399,39900
400,Item_400,40000
401,Item_401,40100
402,Item_402,40200
403,Item_403,40300
404,Item_404,40400
405,Item_405,40500
406,Item_406,40600
407,Item_407,40700
408,Item_408,40800
409,Item_409,40900
410,Item_410,41000
411,Item_411,41100
412,Item_412,41200
413,Item_413,41300
414,Item_414,41400
415,Item_415,41500
416,Item_416,41600
417,Item_417,41700
418,Item_418,41800
419,Item_419,41900
420,Item_420,42000
421,Item_421,42100
422,Item_422,42200
423,Item_423,42300
424,Item_424,42400
425,Item_425,42500
426,Item_426,42600
427,Item_427,42700
428,Item_428,42800
429,Item_429,42900
430,Item_430,43000
431,Item_431,43100
432,Item_432,43200
433,Item_433,43300
434,Item_434,43400
435,Item_435,43500
436,Item_436,43600
437,Item_437,43700
438,Item_438,43800
439,Item_439,43900
440,Item_440,44000
441,Item_441,44100
442,Item_442,44200
443,Item_443,44300
444,Item_444,44400
445,Item_445,44500
446,Item_446,44600
447,Item_447,44700
448,Item_448,44800
449,Item_449,44900
450,Item_450,45000
451,Item_451,45100
452,Item_452,45200
453,Item_453,45300
454,Item_454,45400
455,Item_455,45500
456,Item_456,45600
457,Item_457,45700
458,Item_458,45800
459,Item_459,45900
460,Item_460,46000
461,Item_461,46100
462,Item_462,46200
463,Item_463,46300
464,Item_464,46400
465,Item_465,46500
466,Item_466,46600
467,Item_467,46700
468,Item_468,46800
469,Item_469,46900
470,Item_470,47000
471,Item_471,47100
472,Item_472,47200
473,Item_473,47300
474,Item_474,47400
475,Item_475,47500
476,Item_476,47600
477,Item_477,47700
478,Item_478,47800
